0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90
4.944752168791469e-08,2.914412116865697e-07,3.9858502404642537e-07,4.0106616601137543e-07,4.870952486782411e-07,5.997869713330794e-07,7.347372864993522e-07,9.033514115880172e-07,1.0639318283182656e-06,1.320591568442925e-06,1.5063201876110118e-06,1.6959087486664562e-06,1.9041742182579054e-06,2.066035562836152e-06,2.1852835260823145e-06,2.0825525076677694e-06,2.002480570854746e-06,1.8972271859665235e-06,1.7628188842991826e-06,1.6229329100980387e-06,1.493834677740561e-06,1.3854509127073542e-06,1.2747471369587898e-06,1.1901484295418324e-06,1.078075644175696e-06,9.717976862633883e-07,8.63599621624127e-07,7.818575123778121e-07,7.374985895506276e-07,6.892589313920285e-07,6.124355614742883e-07,5.691774978504627e-07,5.348555426826942e-07,4.820233534979596e-07,4.4564727599332034e-07,3.9454587609416245e-07,3.6665881559738906e-07,3.3823654771791724e-07,3.218293087467234e-07,2.9699336423359034e-07,2.911358130611511e-07,2.803489532388814e-07,2.486527904493867e-07,2.3892494263882553e-07,2.3011423498310537e-07,2.1648861312501852e-07,2.033035230738132e-07,1.9545659352441759e-07,1.8631355817691386e-07,1.8071598098809035e-07,1.8195274127432644e-07,1.785863923078071e-07,1.8704411593703307e-07,1.7892178182525331e-07,1.6644161132435382e-07,1.645874629971957e-07,1.4726923047328803e-07,1.3617951611116027e-07,1.263858051983955e-07,1.1160578678166584e-07,9.548213898817244e-08,8.510929474450733e-08,7.667412555153218e-08,7.078851581908032e-08,6.499494752030465e-08,6.061558494762807e-08,5.7397750669738623e-08,5.470865203111788e-08,5.286684085631007e-08,4.8298506722534135e-08,4.539771167745183e-08,4.2743923103164187e-08,3.979657386329264e-08,3.8235600623327606e-08,3.5170642465394546e-08,3.319522814263541e-08,3.085132486325711e-08,2.8630191062591298e-08,2.6274537957826167e-08,2.4947563610466736e-08,2.5109991332436267e-08,2.2940782593508644e-08,2.169680100793054e-08,2.068511823310864e-08,2.0131470118680788e-08,1.9861058239012366e-08,1.9859874129391906e-08,1.9399866471347874e-08,1.875683544196954e-08,1.707243171290588e-08,1.6441688000442008e-08
6.650014804285516e-08,3.863012178514027e-07,5.321263497954624e-07,5.793159843185659e-07,7.631553610261371e-07,9.463946058597748e-07,1.1419387657921737e-06,1.3858860076957752e-06,1.6589860706006236e-06,2.0087738389631136e-06,2.245838177276716e-06,2.375678148523063e-06,2.568627554755167e-06,2.7622425546622675e-06,2.7872520788884833e-06,2.4383922492669843e-06,2.2431801160666203e-06,2.1005438297203665e-06,1.9061351739399163e-06,1.7153494477972956e-06,1.4689932093499858e-06,1.2490412408486435e-06,1.107810280153057e-06,9.923537972157874e-07,8.234467166219361e-07,7.153366519080602e-07,6.170853899313579e-07,5.474875098835659e-07,4.827601443026147e-07,4.259820354362379e-07,3.8291263375750527e-07,3.4685152060786443e-07,3.12988368853001e-07,2.7035638908677754e-07,2.4650795890603896e-07,2.3233913804648802e-07,2.1876415015336797e-07,1.8371927598222054e-07,1.624626360305975e-07,1.4780597317849253e-07,1.4211769051866457e-07,1.3592950459737327e-07,1.0952744164974249e-07,1.0464494931465022e-07,9.81361030586788e-08,9.532013686829563e-08,9.451775406058111e-08,9.268722346185493e-08,8.584648009632984e-08,8.160057404251554e-08,8.636213087113539e-08,8.205967108265179e-08,7.892998401188312e-08,7.749613009103067e-08,8.004685850099994e-08,6.735858004151297e-08,5.963394644867893e-08,5.4490684455216814e-08,5.117891337829806e-08,5.0581911670243226e-08,4.187150975805622e-08,3.77866948155577e-08,3.6372427558543e-08,3.396361317375836e-08,3.0734743416554225e-08,2.94763127427156e-08,2.7584969086400165e-08,2.6149319212035958e-08,2.6508042667605285e-08,2.3981681798123753e-08,2.3141456153002812e-08,2.3315675627583152e-08,2.228671209709946e-08,2.0535851572645652e-08,1.9124422162018045e-08,1.7984893641767838e-08,1.777512674046548e-08,1.954963313830344e-08,1.703443111390527e-08,1.6182486623583454e-08,1.63696587744479e-08,1.5074895233885335e-08,1.4585740315456421e-08,1.4014730779248108e-08,1.3565169253568592e-08,1.2735395700980785e-08,1.28084759964843e-08,1.2099712938563784e-08,1.0917954466971058e-08,1.0243978307033903e-08,1.0076519246644821e-08
6.926824335738348e-08,4.083387591411809e-07,5.595985117263376e-07,5.854991621729969e-07,7.511668696746627e-07,9.696061853984878e-07,1.1623599363192944e-06,1.4137171930722794e-06,1.678147191417272e-06,1.9463089031002346e-06,2.125933498858758e-06,2.2106378032994864e-06,2.284566420051917e-06,2.5582755381947123e-06,2.6963377313628275e-06,2.2271044679219607e-06,2.057790142911062e-06,1.9815888846675083e-06,1.8092073259354079e-06,1.6505868612273652e-06,1.4915831800929189e-06,1.3984204268069628e-06,1.2257063955704957e-06,1.040397878083144e-06,9.001553802598585e-07,8.106492616273006e-07,7.065224166697199e-07,6.07062007644338e-07,5.421842175052352e-07,4.972669266383473e-07,4.57331497845397e-07,4.212864112240784e-07,3.833084670044432e-07,3.3352782922135656e-07,3.1987496185865166e-07,3.170757363817896e-07,3.176384925979464e-07,2.8736471213936206e-07,2.61402562300979e-07,2.5024244748595834e-07,2.611131232352532e-07,2.536151494130708e-07,2.2108130683786389e-07,2.1778835421261073e-07,1.9609150322375167e-07,1.8402205904138e-07,1.8866782190909314e-07,1.8376145929035643e-07,1.8304429746425182e-07,1.7524340973198444e-07,1.6832835075266707e-07,1.6054888407235792e-07,1.6386918524010383e-07,1.612699278768635e-07,1.6170654123443202e-07,1.2432129602643294e-07,1.0311142853011587e-07,9.612788335198075e-08,8.730021088686752e-08,8.088895417463639e-08,6.848585146631537e-08,6.265283802426426e-08,5.825744776154156e-08,5.077832642137629e-08,4.8563926490072114e-08,4.762280938362959e-08,4.274869488140666e-08,4.0462991987447005e-08,3.9004380620647125e-08,3.4843786835310245e-08,3.5040171740360086e-08,3.522023863132493e-08,3.1720585957781235e-08,2.8525161659763446e-08,2.6576885910706135e-08,2.4699822046395163e-08,2.2795611881595544e-08,2.4201000783581656e-08,2.013144437270782e-08,1.8883507163113413e-08,1.8243136150528806e-08,1.8028737901933068e-08,1.709634298210502e-08,1.6010127637463725e-08,1.5976648741234712e-08,1.4921257403711977e-08,1.4589257270491513e-08,1.3889296452913743e-08,1.2976128934288914e-08,1.1761342981411846e-08,1.1418179165952215e-08
